Metabolite,pos_in_ppm,couple_code,J_constant,no_of_protons,overwrite_pos,overwrite_var,overwrite_truncation,Include_multiplet
3-Indolebutyric acid,7.52,1,7.92,1,n,n,n,1
3-Mercaptopyruvic acid,2.84,1,14.19,26,n,n,n,1
3-Mercaptopyruvic acid,3.85,1,14.14,28,n,n,n,1
3-Methoxy-4-Hydroxyphenylglycol sulfate,3.89,0,,3,n,n,n,1
3-Methoxy-4-Hydroxyphenylglycol sulfate,7.02,"1,1","8.25,1.93",1,n,n,n,1
3-Methoxy-4-Hydroxyphenylglycol sulfate,7.16,1,1.93,1,n,n,n,1
3-Methoxy-4-Hydroxyphenylglycol sulfate,7.37,1,8.25,1,n,n,n,1
3-Methoxytyramine,6.99,1,1.81,1,n,n,n,1
3-Methoxytyramine,6.92,1,8.08,1,n,n,n,1
3-Methoxytyramine,6.83,"1,1","8.08,1.87 ",1,n,n,n,1
3-Methoxytyramine,3.88,0,0,2,n,n,n,1
3-Methoxytyramine,3.26,2,7.28,1,n,n,n,1
3-Methoxytyramine,2.94,2,7.28,1,n,n,n,1
3-Methyl-2-oxovaleric acid,0.9,2,7.47,3,n,n,n,1
3-Methyl-2-oxovaleric acid,1.1,1,7.03,3,n,n,n,1
3-Methyladipic acid,2.15,"1,1","14.57,8.30 ",1,n,n,n,1
3-Methyladipic acid,0.94,1,6.73,1,n,n,n,1
3-Methylcrotonylglycine,5.65,0,0,10,n,n,n,1
3-Methylcrotonylglycine,4.13,1,5.31,18,n,n,n,1
3-Methylcrotonylglycine,2.19,0,0,21,n,n,n,1
3-Methylcrotonylglycine,1.9,0,0,23,n,n,n,1
3-Methylhistamine,8.02,0,0,1,n,n,n,1
3-Methylhistamine,7.07,0,0,1,n,n,n,1
3-Methylhistamine,3.71,0,0,3,n,n,n,1
3-Methylhistamine,3.3,2,7.37,2,n,n,n,1
3-Methylhistamine,3.07,2,7.36,2,n,n,n,1
3-Methylhistidine,7.92,0,0,1,n,n,n,1
3-Methylhistidine,7.05,0,0,1,n,n,n,1
3-Methylhistidine,3.93,"1,1","7.60,5.67 ",1,n,n,n,1
3-Methylhistidine,3.7,0,0,4,n,n,n,1
3-Methylindole,2.318,1,1.02,3,n,n,n,1
3-Methylindole,7.162,"1,1,1","7.50,7.05,0.80",1,n,n,n,1
3-Methylindole,7.174,1,0.88,1,n,n,n,1
3-Methylindole,7.243,"2,1","7.58,0.96",1,n,n,n,1
3-Methylindole,7.491,1,8.19,1,n,n,n,1
3-Methylindole,7.662,1,7.77,1,n,n,n,1
3-Methylphenylacetic acid,2.31,0,,3,n,n,n,1
3-Methylphenylacetic acid,3.47,0,,2,n,n,n,1
3-Methylphenylacetic acid,7.08,1,7.43,1,n,n,n,1
3-Methylphenylacetic acid,7.25,2,7.46,1,n,n,n,1
3-Methylxanthine,3.51,0,,3,n,n,n,1
3-Methylxanthine,8.02,0,,1,n,n,n,1
3-Nitrotyrosine,7.92,1,1.97,1,n,n,n,1
3-Nitrotyrosine,7.42,"1,1","8.72,2.17 ",1,n,n,n,1
3-Nitrotyrosine,7,1,8.74,1,n,n,n,1
3-Nitrotyrosine,3.95,"1,1","7.71,5.38 ",1,n,n,n,1
3-Oxocholic acid,0.62,0,,3,n,n,n,1
3-Oxocholic acid,0.92,0,,3,n,n,n,1
3-Oxocholic acid,0.93,1,6.6,3,n,n,n,1
3-Oxocholic acid,1.42,1,13.53,2,n,n,n,1
3-Oxocholic acid,3.43,"1,1","14.94,13.89",1,n,n,n,1
3-Phenylbutyric acid,1.34,1,7,26,n,n,n,1
3-Phosphoglyceric acid,4.19,"1,1","6.30,2.78",1,n,n,n,1
3-Pyridylacetic acid,3.58,0,,2,n,n,n,1
3-Pyridylacetic acid,7.45,"1,1","7.76,5.06",1,n,n,n,1
3-Pyridylacetic acid,7.79,"1,1","7.84,0.47",1,n,n,n,1
"3,4-Dihydroxybenzeneacetic acid",3.38,0,,2,n,n,n,1
"3,4-Dihydroxybenzeneacetic acid",6.7,"1,1","8.09,2.03",1,n,n,n,1
"3,4-Dihydroxybenzeneacetic acid",6.81,1,1.93,1,n,n,n,1
"3,4-Dihydroxybenzeneacetic acid",6.85,1,8.05,1,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",6.89,1,8.08,1,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",6.82,1,2.1,1,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",6.72,"1,1","8.10,2.10 ",1,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",3.92,"1,1","7.86,5.04 ",2,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",3.14,"1,1","14.65,5.04 ",1,n,n,n,1
"3,4-Dihydroxyhydrocinnamic acid",2.98,"1,1","14.65,7.86 ",1,n,n,n,1
"3,4-Dihydroxymandelic acid",6.85,"1,1","8.16,2.10",1,n,n,n,1
"3,4-Dihydroxymandelic acid",6.888,1,8.13,1,n,n,n,1
"3,4-Dihydroxymandelic acid",6.918,1,2.07,1,n,n,n,1
"3,4-Dihydroxyphenylglycol",3.69,1,6.18,2,n,n,n,1
"3,4-Dihydroxyphenylglycol",6.84,"1,1","8.19,2.01",1,n,n,n,1
"3,4,5-Trimethoxycinnamic acid",3.76,0,,3,n,n,n,1
"3,4,5-Trimethoxycinnamic acid",3.84,0,,5,n,n,n,1
"3,4,5-Trimethoxycinnamic acid",6.39,1,15.96,1,n,n,n,1
"3,4,5-Trimethoxycinnamic acid",6.8,0,,2,n,n,n,1
"3,4,5-Trimethoxycinnamic acid",7.22,1,15.96,1,n,n,n,1
"3,5-Diiodo-L-tyrosine",2.76,"1,1","14.31,7.65",1,n,n,n,1
"3,5-Diiodo-L-tyrosine",2.96,"1,1","14.36,4.46",1,n,n,n,1
"3,5-Diiodo-L-tyrosine",3.37,"1,1","7.43,4.84",1,n,n,n,1
"3,5-Diiodo-L-tyrosine",7.61,0,,2,n,n,n,1
"3,5-Diiodothyronine",7.87,0,,2,n,n,n,1
"3,7-Dimethyluric acid",3.35,0,,3,n,n,n,1
"3,7-Dimethyluric acid",3.4,0,,3,n,n,n,1
"3a,6a,7b-Trihydroxy-5b-cholanoic acid",0.84,0,,3,n,n,n,1
"3a,6b,7b-Trihydroxy-5b-cholanoic acid",0.84,0,,3,n,n,n,1
3b-Hydroxy-5-cholenoic acid,5.28,"1,1","3.04,2.22 ",1,n,n,n,1
3b-Hydroxy-5-cholenoic acid,2.34,"1,1,1","15.69,10.29,5.17 ",2,n,n,n,1
3b-Hydroxy-5-cholenoic acid,0.94,0,0,5,n,n,n,1
3b-Hydroxy-5-cholenoic acid,0.87,1,6.45,6,n,n,n,1
3b-Hydroxy-5-cholenoic acid,0.62,0,0,5,n,n,n,1
4-Aminohippuric acid,3.916,1,5.82,2,n,n,n,1
4-Aminohippuric acid,6.852,1,8.65,2,n,n,n,1
4-Aminohippuric acid,7.665,1,8.68,2,n,n,n,1
4-Aminophenol,6.61,1,0,1,n,n,n,1
4-Aminophenol,6.68,1,8.62,1,n,n,n,1
4-Heptanone,0.86,2,7.43,9,n,n,n,1
4-Heptanone,2.51,2,7.29,4,n,n,n,1
4-Hydroxybenzoic acid,6.91,1,8.79,2,n,n,n,1
4-Hydroxybenzoic acid,7.8,1,8.61,2,n,n,n,1
4-Hydroxyphenylpyruvic acid,4.01,0,,1,n,n,n,1
4-Methoxycinnamic acid,3.83,0,,3,n,n,n,1
4-Methoxycinnamic acid,6.33,1,15.96,1,n,n,n,1
4-Methoxycinnamic acid,7.62,1,15.96,1,n,n,n,1
4-Methoxyphenylacetic acid,3.6,0,0,3,n,n,n,1
4-Methoxyphenylacetic acid,3.81,0,0,4,n,n,n,1
4-Methoxyphenylacetic acid,6.88,1,8.51,2,n,n,n,1
4-Methoxyphenylacetic acid,7.21,1,8.44,2,n,n,n,1
4-Methylcatechol,2.21,0,,3,n,n,n,1
4-Methylcatechol,6.68,"1,1,1","8.04,2.06,0.71",1,n,n,n,1
4-Methylcatechol,6.78,1,1.59,1,n,n,n,1
4-Methylcatechol,6.82,1,8.04,1,n,n,n,1
4-Pyridoxic acid,7.53,0,,31,n,n,n,1
4-Pyridoxic acid,4.51,0,,1,n,n,n,1
4-Pyridoxic acid,2.31,0,,79,n,n,n,1
"4,5-Dihydroorotic acid",2.78,"1,1","17.07,6.50",1,n,n,n,1
"4,5-Dihydroorotic acid",2.97,"1,1","17.07,6.73",1,n,n,n,1
"4,5-Dihydroorotic acid",4.12,2,6.66,1,n,n,n,1
5-Aminolevulinic acid,2.491,2,6.57,2,n,n,n,1
5-Aminolevulinic acid,2.781,2,6.59,2,n,n,n,1
5-Aminolevulinic acid,4.086,0,,2,n,n,n,1
5-Aminopentanoic acid,3,2,7.09,2,n,n,n,1
5-Aminopentanoic acid,2.22,2,6.86,2,n,n,n,1
5-Dodecenoic acid,2.2,2,7.58,6,n,n,n,1
5-Dodecenoic acid,0.87,2,0,7,n,n,n,1
5-Hydroxy-L-tryptophan,7.39,1,8.69,14,n,n,n,1
5-Hydroxy-L-tryptophan,7.27,0,0,15,n,n,n,1
5-Hydroxy-L-tryptophan,7.13,1,2.2,15,n,n,n,1
5-Hydroxy-L-tryptophan,6.85,"1,1","8.72,2.31 ",14,n,n,n,1
5-Hydroxy-L-tryptophan,4.02,"1,1","8.12,4.78 ",12,n,n,n,1
5-Hydroxy-L-tryptophan,3.4,"1,1","15.33,4.71 ",10,n,n,n,1
5-Hydroxy-L-tryptophan,3.22,"1,1","15.37,8.14 ",10,n,n,n,1
5-Hydroxyindoleacetic acid,3.57,0,,2,n,n,n,1
5-Hydroxyindoleacetic acid,6.81,"1,1","8.68,2.34",1,n,n,n,1
5-Hydroxyindoleacetic acid,7.03,1,2.26,1,n,n,n,1
5-Hydroxyindoleacetic acid,7.2,0,,1,n,n,n,1
5-Hydroxyindoleacetic acid,7.36,1,8.65,1,n,n,n,1
5-Hydroxymethyl-4-methyluracil,2.29,0,,1,n,n,n,1
5-Hydroxymethyl-4-methyluracil,4.42,0,,1,n,n,n,1
5-Hydroxymethyluracil,4.36,0,,2,n,n,n,1
5-Hydroxymethyluracil,7.59,0,0,1,n,n,n,1
5-Hydroxytryptophol,2.89,2,7.35,1,n,n,n,1
5-Hydroxytryptophol,3.78,2,7.35,2,n,n,n,1
5-Hydroxytryptophol,6.65,"1,1","8.61,2.34",1,n,n,n,1
5-Hydroxytryptophol,6.91,1,1.98,1,n,n,n,1
5-Hydroxytryptophol,7,0,,1,n,n,n,1
5-Hydroxytryptophol,7.14,"1,1","8.64,0.39",1,n,n,n,1
5-Methoxysalicylic acid,3.72,0,0,3,n,n,n,1
5-Methoxysalicylic acid,6.89,1,8.99,1,n,n,n,1
5-Methoxysalicylic acid,7.14,"1,1","9.00,3.17 ",1,n,n,n,1
5-Methoxysalicylic acid,7.24,1,3.11,1,n,n,n,1
5-Methoxytryptamine,3.13,2,7.07,2,n,n,n,1
5-Methoxytryptamine,3.32,2,7.07,2,n,n,n,1
5-Methoxytryptamine,3.89,0,,3,n,n,n,1
5-Methoxytryptamine,6.94,"1,1","8.78,2.45",1,n,n,n,1
5-Methoxytryptamine,7.22,1,2.26,1,n,n,n,1
5-Methoxytryptamine,7.32,0,,1,n,n,n,1
5-Methoxytryptamine,7.46,1,8.86,1,n,n,n,1
